CMDLINE python try_STARS_prefetched.py
MEM 2066.328125 1695338473.1448
MEM 2066.328125 1695338473.2463
MEM 2066.328125 1695338473.3515
MEM 2066.328125 1695338473.4567
MEM 2066.328125 1695338473.5616
MEM 2066.328125 1695338473.6661
MEM 2066.328125 1695338473.7713
MEM 2066.328125 1695338473.8765
MEM 2066.328125 1695338473.9817
MEM 2066.328125 1695338474.0869
MEM 2066.328125 1695338474.1921
MEM 2066.328125 1695338474.2972
MEM 2066.328125 1695338474.4024
MEM 2066.328125 1695338474.5076
MEM 2066.328125 1695338474.6114
MEM 2066.328125 1695338474.7134
MEM 2066.328125 1695338474.8142
MEM 2066.328125 1695338474.9194
MEM 2066.328125 1695338475.0246
MEM 2066.328125 1695338475.1298
MEM 2066.328125 1695338475.2317
MEM 2066.328125 1695338475.3369
MEM 2066.328125 1695338475.4421
MEM 2066.328125 1695338475.5425
MEM 2066.328125 1695338475.6475
MEM 2066.328125 1695338475.7527
MEM 2066.328125 1695338475.8546
MEM 2066.328125 1695338475.9552
MEM 2066.328125 1695338476.0604
MEM 2066.328125 1695338476.1655
MEM 2066.328125 1695338476.2683
MEM 2066.328125 1695338476.3719
MEM 2066.328125 1695338476.4747
MEM 2066.328125 1695338476.5779
MEM 2066.328125 1695338476.6786
MEM 2066.328125 1695338476.7838
MEM 2066.328125 1695338476.8877
MEM 2066.328125 1695338476.9928
MEM 2066.328125 1695338477.0949
MEM 2066.328125 1695338477.1969
MEM 2066.328125 1695338477.2992
MEM 2066.328125 1695338477.4044
MEM 2066.328125 1695338477.5096
MEM 2066.328125 1695338477.6110
MEM 2066.328125 1695338477.7162
MEM 2066.328125 1695338477.8182
MEM 2066.328125 1695338477.9189
MEM 2066.328125 1695338478.0241
MEM 2066.328125 1695338478.1293
MEM 2066.328125 1695338478.2345
MEM 2066.328125 1695338478.3398
MEM 2066.328125 1695338478.4420
MEM 2066.328125 1695338478.5426
MEM 2066.328125 1695338478.6454
MEM 2066.328125 1695338478.7506
MEM 2066.328125 1695338478.8525
MEM 2066.328125 1695338478.9576
MEM 2066.328125 1695338479.0628
MEM 2066.328125 1695338479.1680
MEM 2066.328125 1695338479.2714
MEM 2066.328125 1695338479.3760
MEM 2066.328125 1695338479.4781
MEM 2066.328125 1695338479.5788
MEM 2066.328125 1695338479.6797
MEM 2066.328125 1695338479.7849
